VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments
0BiHfwPHtLc,https://www.youtube.com/watch?v=0BiHfwPHtLc,UCC4Dc3-m0gv_yPljklvpmdQ,Liên Hương - Sức Khỏe Vàng,Personal,3 TYPE Tiểu Đường | Liên Hương  #shots,2,226,32,2024-03-24T14:29:22Z,47S,0
AAp8o7dEI0s,https://www.youtube.com/watch?v=AAp8o7dEI0s,UCwpYXqYAVlla9N87T1V3UOw,GIÁ NHƯ,Personal,"CÂU HỎI TĐ GIÁ NHƯ SỐ 30: "" BN ĐTĐ TYPE 1 CÓ CHỈ SỐ AXIT URIC CAO, CẦN LÀM GÌ ĐỂ CẢI THIỆN?""",0,165,0,2021-09-06T04:35:55Z,1M28S,0
ESX0tulBbRc,https://www.youtube.com/watch?v=ESX0tulBbRc,UCKEaz2zAUotAMW2MQ8T2_Zw,Tieuduong Asia,Personal,Nguyên nhân của bệnh tiểu đường và cách điều trị,4,243,51,2020-07-23T06:52:24Z,25M29S,2
Y0rwxS9BwQQ,https://www.youtube.com/watch?v=Y0rwxS9BwQQ,UCp6mBHzWMjnGr7Bi9jDG9mQ,Quang Huy,Personal,Cách trị TIỂU ĐƯỜNG TYPE 2 đơn giản nhất!!,1,30,4,2024-09-07T16:10:34Z,19S,0
whEXHrcP90Y,https://www.youtube.com/watch?v=whEXHrcP90Y,UCp6mBHzWMjnGr7Bi9jDG9mQ,Quang Huy,Personal,Cách trị TIỂU ĐƯỜNG TYPE 2 đơn giản nhất!!,0,30,2,2024-09-07T16:09:52Z,23S,0
HDUFZLgkWOs,https://www.youtube.com/watch?v=HDUFZLgkWOs,UCDYBoHKSJRywQ4kPytx3G-A,Sức Khỏe 1001,Personal,Bệnh Tiểu Đường Loại Nào Nguy Hiểm Nhất ? Đây Là Lời Khuyên Của Chuyên Gia Người Bệnh Cần Cảnh Giác,11,103000,1047,2020-11-06T00:00:05Z,11M40S,1
DiWFyUUo2AI,https://www.youtube.com/watch?v=DiWFyUUo2AI,UCC_7VYyBX-mKKgPntUx4IYw,VTC14 GREEN,Personal,Đái tháo đường: Hiểu nguy cơ - biết hành động |VTC14 GREEN,0,2360,12,2023-11-15T05:04:42Z,11M22S,0
OUrBZ8_pegw,https://www.youtube.com/watch?v=OUrBZ8_pegw,UCuNL7rfACenbBefX-4znyGA,Lập Phạm Đức,Personal,Hiểu về bệnh tiểu đường trong 5 phút | Whiteboard Infographic | meclip.vn,1,19100,126,2021-04-22T02:18:37Z,5M21S,0
c3NV7lHMx4A,https://www.youtube.com/watch?v=c3NV7lHMx4A,UC5N9FsB7ZGEHyeb5Pa1bjjQ,Dược Sĩ Lan,Personal,"5 người trong nhà cùng mắc tiểu đường, nhìn thực đơn bác sĩ hiểu ngay, tỉ lệ mắc bệnh là 100%",28,131000,1494,2024-10-14T12:00:17Z,8M14S,3
jhDJy4yCAQ0,https://www.youtube.com/watch?v=jhDJy4yCAQ0,UCiXk-s2Q1VBjnQGsJ0jbTmg,My Nhung Yoga Trị Liệu ,Personal,5 Lỗi ăn sáng người tiểu đường cần tránh #lốisốnglànhmạnh #tieuduong,9,414,2869,2025-08-07T04:27:35Z,12S,0
WOKb8Qztkxw,https://www.youtube.com/watch?v=WOKb8Qztkxw,UCmL5XFrOPUPfPznIVsUcTMA,ĐÔNG DƯỢC NESFACO,Personal,Tiểu đường type 2 uống thuốc gì? #tieuduong #nguyencongduc #shortvideo,5,11500,195,2024-06-14T09:15:03Z,54S,0
e0RH1NoLLtQ,https://www.youtube.com/watch?v=e0RH1NoLLtQ,UCajEfvBOPrAF5SluNYOom0w,kimsu huynh,Personal,Ca lâm sàng đái tháo đường typ 1,1,11,154,2020-08-04T09:13:57Z,20M27S,0
7rXbCCg-Vnw,https://www.youtube.com/watch?v=7rXbCCg-Vnw,UCyjm31tIOB87YJEWlQyedkQ,totrinhd2t,Personal,tiểu đường type 2,0,4,4,2024-12-04T16:27:46Z,1H14M46S,0
sJEe0s4X_DU,https://www.youtube.com/watch?v=sJEe0s4X_DU,UCDLhNWWQeFZep0eh_1VDVLQ,Emma Pham Kitchen,Personal,SÁCH CHỮA KHỎI BỆNH TIỂU ĐƯỜNG VÀ BỮA ĂN PHỤ,965,267000,73627,2021-11-09T11:21:52Z,10M16S,146
gaWORDUXEh4,https://www.youtube.com/watch?v=gaWORDUXEh4,UCpjYlo2NGsmoY8-b9dj4diA,Marek Skoczylas,Personal,87% cukrzyków WYLECZONYCH 😲! Leki nie miały szans.,4249,1120000,97324,2025-08-06T13:45:12Z,3M,52
