VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments,Type
ysK_ar7iDaM,https://www.youtube.com/watch?v=ysK_ar7iDaM,UCZu-Sb6hPE-9m1A365R_MnQ,Abbott Nutrition Vietnam,Personal,Tìm hiểu nguyên nhân mắc đái tháo đường/tiểu đường túyp 2 cùng Glucerna,55,135000,8637,2021-05-12T12:28:27Z,2M13S,0,1
OdxALXYIjjo,https://www.youtube.com/watch?v=OdxALXYIjjo,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,6 Triệu Chứng Cho Thấy Bạn Mắc Bệnh Đái Tháo Đường | Dr Ngọc,2132,1310000,225212,2023-02-19T04:00:10Z,6M49S,221,1
63XJ2lX_rq0,https://www.youtube.com/watch?v=63XJ2lX_rq0,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,6 dấu hiệu ở chân cảnh báo bệnh tiểu đường,63,1650000,12181,2023-07-25T08:58:48Z,2M48S,1,1
pO5x_VbPzKo,https://www.youtube.com/watch?v=pO5x_VbPzKo,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,"Lý Do Người Bệnh Đái Tháo Đường Nên Ăn Chuối Xanh, Người Đau Dạ Dày Nên Ăn Chuối Chín | SKĐS",199,3000000,70899,2023-05-20T05:15:04Z,2M31S,0,1
mgNYV36nEvY,https://www.youtube.com/watch?v=mgNYV36nEvY,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Tại sao tiểu đường gây liệt dương?,0,723000,23060,2022-03-11T12:30:14Z,3M51S,6,1
YNAXgotd3Lk,https://www.youtube.com/watch?v=YNAXgotd3Lk,UCZnhEIF8a5Uv4GMPwT6KafQ,KÊNH VTC16,Personal,Cách sử dụng đỗ đen để kiểm soát tiểu đường | VTC16,31,1890000,7899,2024-11-11T11:53:30Z,9M47S,2,1
LkRnselvr0Q,https://www.youtube.com/watch?v=LkRnselvr0Q,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Ngăn Chặn Bệnh Tiểu Đường Trước Khi Quá Muộn - Những Điều Ai Cũng Cần Biết | Dr Ngọc,866,1310000,37914,2024-12-20T12:00:06Z,20M56S,211,1
p2AFgXTCUCI,https://www.youtube.com/watch?v=p2AFgXTCUCI,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Dấu hiệu sớm cảnh báo bệnh tiểu đường,350,1650000,72691,2022-08-13T07:05:27Z,3M28S,15,1
bxLWTyLFY5c,https://www.youtube.com/watch?v=bxLWTyLFY5c,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,Những người mắc bệnh tiểu đường có nên ăn mít? | SKĐS #shorts,85,3000000,4758,2024-10-04T14:00:43Z,56S,0,1
JmFzpquWWNc,https://www.youtube.com/watch?v=JmFzpquWWNc,UCepZ0FGWvrZoY5Z_6W8Jyyg,TCI Hospital,Personal,Tiểu đường và biến chứng tiểu đường,7,296000,1520,2023-06-23T10:44:17Z,1M36S,0,1
TLYB8g66A_k,https://www.youtube.com/watch?v=TLYB8g66A_k,UCZnhEIF8a5Uv4GMPwT6KafQ,KÊNH VTC16,Personal,Điều trị tiểu đường bằng cây đinh lăng? | VTC16,310,1890000,105566,2023-11-16T09:57:00Z,11M13S,26,1
JACYhVwlXf4,https://www.youtube.com/watch?v=JACYhVwlXf4,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,Tiểu đường tuýp 2 có chữa khỏi được không? Điều trị thế nào? | SKĐS,72,3000000,11981,2024-03-14T04:07:12Z,32M45S,0,1
_Qjg2jUrWxw,https://www.youtube.com/watch?v=_Qjg2jUrWxw,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Thực phẩm tốt nhất cho bệnh Đái Tháo Đường | Dr Ngọc,13815,1310000,568040,2023-03-01T14:16:19Z,59M51S,2468,1
4elaMM0Zup4,https://www.youtube.com/watch?v=4elaMM0Zup4,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Vì sao bệnh tiểu đường dễ bị suy thận?,153,1650000,11442,2024-06-10T13:45:00Z,39S,4,1
QfdzHK7Bf20,https://www.youtube.com/watch?v=QfdzHK7Bf20,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Chỉ số đường huyết bao nhiêu cảnh báo bệnh tiểu đường? | Dr Ngọc #shorts #short #drngoc,1649,1310000,139307,2024-03-03T00:00:18Z,50S,56,1
kF5HIqh6Ag0,https://www.youtube.com/watch?v=kF5HIqh6Ag0,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,"Người bệnh tiểu đường, chỉ số đường huyết bao nhiêu lý tưởng? | TS.BS Trần Minh Triết",2096,1650000,246904,2023-08-20T04:00:11Z,15M47S,132,1
JACYhVwlXf4,https://www.youtube.com/watch?v=JACYhVwlXf4,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,Tiểu đường tuýp 2 có chữa khỏi được không? Điều trị thế nào? | SKĐS,72,3000000,11981,2024-03-14T04:07:12Z,32M45S,0,1
kF5HIqh6Ag0,https://www.youtube.com/watch?v=kF5HIqh6Ag0,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,"Người bệnh tiểu đường, chỉ số đường huyết bao nhiêu lý tưởng? | TS.BS Trần Minh Triết",2096,1650000,246904,2023-08-20T04:00:11Z,15M47S,132,1
